polymer_slug,grade,property_group,property_key,value_num,value_min,value_max,unit,original_value,original_unit,test_standard,test_condition,source_title,source_locator,note_en,verification_status
polystyrene,Generic aPS,thermal,degradation_temp,274,274,415,°C,274 - 415,°C,TGA,10-25 °C/min N2,Thermal Degradation Kinetics of PS (MDPI / ResearchGate),Table 2 / Section 3,"Range of thermal stability 274–415 °C; main mass loss peak at 415–430 °C",verified
polystyrene,Generic aPS,thermal,specific_heat_capacity,1.22,null,null,kJ/(kg·K),1.22,J/(g·K),DSC,25 °C,Polymer Data Handbook (Mark),Table 1,"Solid state specific heat capacity Cp at 298.15 K is 1.22 kJ/(kg·K)",verified
polystyrene,Styrolution PS 158N,physical,water_absorption,0.1,null,null,%,<0.1,%,ISO 62,23 °C saturation,INEOS Styrolution PS 158N/L TDS,Page 2 - Other Properties,"Water Absorption, Saturated at 23 °C ISO 62 % <0.1",verified
polystyrene,Styrolution PS 158N,physical,refractive_index,1.56,null,null,dimensionless,1.56,dimensionless,ISO 489,Sodium D-line 589 nm 23 °C,INEOS Styrolution PS 158N/L TDS,Page 2 - Optical Properties,"Refractive Index, Sodium D Line ISO 489 - 1.56",verified
polystyrene,Styrolution PS 158N,electrical,dielectric_constant,2.5,null,null,dimensionless,2.5,dimensionless,IEC 60250,100 Hz,INEOS Styrolution PS 158N/L TDS,Page 2 - Electrical Properties,"Dielectric Constant (100 Hz) IEC 60250 - 2.5",verified
polystyrene,Total Polystyrene 1540,electrical,dielectric_strength,135,null,null,kV/mm,135,kV/mm,ASTM D149,23 °C in oil,TotalEnergies GPPS 1540 Datasheet,Page 1 - Electrical Properties,"Dielectric Strength D-149 135 kV/mm",verified
polystyrene,Styrolution PS 158N,electrical,volume_resistivity,1e+18,null,null,Ω·cm,>1E16,Ohm·m,IEC 60093,23 °C,INEOS Styrolution PS 158N/L TDS,Page 2 - Electrical Properties,"Volume Resistivity IEC 60093 Ohm*m >1E16",verified
polystyrene,Styrolution PS 158N,electrical,dissipation_factor,0.00009,null,null,dimensionless,0.9e-4,dimensionless,IEC 60250,100 Hz,INEOS Styrolution PS 158N/L TDS,Page 2 - Electrical Properties,"Dissipation Factor (100 Hz) IEC 60250 10^(-4) 0.9",verified
polystyrene,Styrolution PS 158N,processing,process_temp,230,180,280,°C,180 - 280,°C,ISO 294,Injection molding,INEOS Styrolution PS 158N/L TDS,Page 2 - Processing,"Melt Temperature Range ISO 294 °C 180 - 280",verified
polystyrene,Styrolution PS 158N,processing,mould_temp,40,10,60,°C,40 (range 10 - 60),°C,ISO 294,Injection molding,INEOS Styrolution PS 158N/L TDS,Page 2 - Processing,"Mold Temperature Range ISO 294 °C 40 (10 to 60 °C)",verified
polystyrene,Styrolution PS 158N,processing,mfi,3.4,null,null,g/10min,3.3,cm³/10 min,ISO 1133,200 °C / 5 kg,INEOS Styrolution PS 158N/L TDS,Page 1 - Rheological Properties,"Melt Volume Rate, 200 °C/5 kg ISO 1133 cm³/10 min 3.3",verified
polystyrene,Styrolution PS 158N,processing,injection_pressure,100,70,140,MPa,700 - 1400,bar,Internal standard,Injection molding,INEOS Styrolution Processing Guide,Page 2,"Standard injection pressure range 700 to 1400 bar",verified
polystyrene,Generic aPS,academic,monomer_name,null,null,null,null,Styrene (Ethenylbenzene),null,IUPAC / CAS,CAS 100-42-5,PubChem CID 7501,Section 1,"Styrene monomer C8H8 (CAS 100-42-5)",verified
